title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/incorrect-horse/to-do-list;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/incorrect-horse/portfolio;2.png
Company Website;Generic description.;https://github.com/incorrect-horse/company_website;no_pic.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/incorrect-horse/pdf_template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/incorrect-horse/excel_invoice_to_pdf;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/incorrect-horse/news_api_email;5.png
Astronomy Image of the Day;Generic description.;https://github.com/incorrect-horse/astronomy_image_otd;no_pic.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/incorrect-horse/weather_api;6.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
Book Analysis;Generic description.;https://github.com/incorrect-horse/book_analysis;no_pic.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/incorrect-horse/web_scraping;8.png
Object Oriented Programming;Generic description.;https://github.com/incorrect-horse/object_oriented_programming;no_pic.png
Hotel Booking App;Generic description.;https://github.com/incorrect-horse/hotel_booking;no_pic.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/incorrect-horse/webcam_email;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/incorrect-horse/wx_forecast_app;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQLite database backend.;https://github.com/incorrect-horse/student_management_system;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png
Chatbot GUI;description;https://pythonhow.com;no_pic.png
Student Management System Update;A desktop PyQt6 GUI app for managing university student data with a MySQL database backend.;https://github.com/incorrect-horse/student_management_system;17.png
